,id,name,brand,category,rating,feedbacks,supplierRating,base_price,discount_price
1764,30082045,"Пояс для отягощений атлетический, 100 см",ONHILLSPORT,пояс с цепью для отягощения,5,5,4.9,6400.0,2296.0
1765,3896419,Ремень для отягощений пауэрлифтинга на застёжке с цепью,ORIGINAL FITTOOLS,пояс с цепью для отягощения,5,47,4.9,4580.0,1426.0
1766,194542589,Пояс с цепью для отягощения,Lara star,пояс с цепью для отягощения,5,41,4.9,4500.0,1485.0
1767,322284083,Пояс для отягощения 85 см,Progress.mg,пояс с цепью для отягощения,5,11,4.8,1397.0,518.0
1768,219519728,Пояс для отягощений Виселица с цепью,A2 union,пояс с цепью для отягощения,5,22,4.9,8000.0,2344.0
1769,998101523,"Пояс для отягощений с цепью, с карабином для подтягивания",FIGHT BALL,пояс с цепью для отягощения,0,0,4.9,1700.0,529.0
1770,14703906,Пояс для отягощений с цепью,ULTRA-WOD,пояс с цепью для отягощения,5,660,4.8,1833.0,822.0
1771,190448370,Пояс с цепью для отягощения,ULTRA-WOD,пояс с цепью для отягощения,5,68,4.8,1528.0,780.0
1772,242694425,Пояс с цепью для отягощений,Boybo,пояс с цепью для отягощения,5,1,4.9,5543.0,2353.0
1773,264899952,Пояс для отягощений с цепью 105 см черный,Corsuperbia,пояс с цепью для отягощения,5,3,4.9,1155.0,482.0
1774,256900897,Пояс для отягощения с цепью атлетический 100 см до 120 кг,,пояс с цепью для отягощения,5,9,4.8,3800.0,1183.0
1775,565178395,"Пояс атлетический GINGPAI для отягощения с цепью, силовой",Арс,пояс с цепью для отягощения,5,3,4.9,4200.0,2366.0
1776,162949580,Пояс атлетический с цепью для отягощения,MyPads,пояс с цепью для отягощения,5,34,4.7,3200.0,1854.0
1777,564647062,"Пояс для отягощений с цепью, атлетический 90 см",,пояс с цепью для отягощения,5,3,5.0,1600.0,787.0
1778,37318390,"Пояс для отягощений атлетический, 115 см",ONHILLSPORT,пояс с цепью для отягощения,5,2,4.9,6400.0,2296.0
1779,256901031,Пояс для отягощения с цепью атлетический 115 см до 120 кг,,пояс с цепью для отягощения,5,11,4.8,3800.0,1183.0
1780,264950360,Пояс с цепью для отягощений 75 см,,пояс с цепью для отягощения,0,0,4.9,1155.0,403.0
1781,245876068,Пояс для отягощения с цепью атлетический 85 см до 120 кг,,пояс с цепью для отягощения,5,39,4.8,3800.0,1183.0
1782,948733858,Пояс для отягощения,FIGHT BALL,пояс с цепью для отягощения,5,64,4.9,1700.0,529.0
1783,961867450,Пояс с цепью для отягощения,Lara star,пояс с цепью для отягощения,0,0,4.4,3309.0,1288.0
1784,608957742,Пояс атлетический для отягощений с цепью,,пояс с цепью для отягощения,0,0,5.0,1610.0,952.0
1785,203425238,Пояс для отягощения с цепью 100 см c нагрузкой до 120кг,Progress.mg,пояс с цепью для отягощения,5,48,4.8,3200.0,1237.0
1786,619900919,Пояс с цепью для отягощения,Lara star,пояс с цепью для отягощения,0,0,4.3,1916.0,1878.0
1787,30080243,"Пояс для отягощений атлетический, 85 см",ONHILLSPORT,пояс с цепью для отягощения,4,7,4.9,6400.0,2296.0
1788,35686773,Пояс для тяжелой атлетики,Sportlim,пояс с цепью для отягощения,5,3,4.8,4443.0,2656.0
1789,7758373,Пояс атлетический для отягощений SPR,Sproots,пояс с цепью для отягощения,5,422,4.9,2220.0,1147.0
1790,446715638,Пояс для отягощения 100 см,Progress.mg,пояс с цепью для отягощения,5,2,4.8,1468.0,532.0
1791,586452431,"Пояс для отягощений с цепью, атлетический 80 см",,пояс с цепью для отягощения,5,3,5.0,1600.0,747.0
1792,447001806,Пояс для отягощения 85 см,,пояс с цепью для отягощения,5,2,4.8,1504.0,468.0
1793,678645334,мужской с цепью для отягощения,Пояс атлетический,пояс с цепью для отягощения,5,2,4.7,1900.0,1450.0
1794,446721076,Пояс для отягощения 100 см,,пояс с цепью для отягощения,5,1,4.8,1611.0,501.0
1795,99277388,Пояс для отягощений с цепью,Fitsafe,пояс с цепью для отягощения,5,124,4.8,4690.0,1373.0
1796,807376839,Пояс для отягощений с цепью и карабином,,пояс с цепью для отягощения,0,0,4.3,2666.0,911.0
1797,804844826,Пояс для тяжелой атлетики с цепью Черный арт 364г,,пояс с цепью для отягощения,0,0,4.5,2928.0,2209.0
