id,name,brand,category,rating,feedbacks,supplierRating,base_price,discount_price
261674776,Кольца гимнастические 32 мм со стропами 40 мм с пропиткой,Мир спорта 365,гимнастические кольца,5,11,4.9,9700.0,3422.0
28698074,Кольца к Уличному спортивному комплексу,Sportlim,гимнастические кольца,5,42,4.8,1311.0,735.0
427613535,Гимнастические кольца,,гимнастические кольца,5,26,4.7,3620.0,1546.0
261673326,Кольца гимнастические 28 мм со стропами 38 мм,Мир спорта 365,гимнастические кольца,5,15,4.9,6200.0,2224.0
26068700,Детские кольца гимнастические,Arizona Sport,гимнастические кольца,5,83,4.9,1344.0,552.0
224973921,Кольца гимнастические 32 мм со стропами 25 мм с пропиткой,Мир спорта 365,гимнастические кольца,5,26,4.9,6500.0,2332.0
699048914,Кольца гимнастические детские и канат для шведской стенки,ATLETIX,гимнастические кольца,5,9,4.9,7300.0,2223.0
421890407,Кольца гимнастические детские круглые,Sportlim,гимнастические кольца,5,3,4.8,1215.0,756.0
39429423,Кольца гимнастические пластиковые,BORABO,гимнастические кольца,5,42,4.9,5282.0,1842.0
427613534,Гимнастические кольца,,гимнастические кольца,5,41,4.7,3620.0,1480.0
177222688,Гимнастические кольца универсальные на шведскую стенку,CometaSport,гимнастические кольца,5,22,4.9,1780.0,609.0
46577492,Гимнастические кольца,Arizona Sport,гимнастические кольца,5,96,4.9,954.0,594.0
534218933,кольца гимнастические спортивные,Kampfer,гимнастические кольца,5,1,4.8,1133.0,1133.0
28658927,Кольца гимнастические 32 мм со стропами 25 мм,Мир спорта 365,гимнастические кольца,5,184,4.9,5800.0,2081.0
225020278,Кольца гимнастические детские 25 мм со стропами,Мир спорта 365,гимнастические кольца,5,58,4.9,3300.0,1233.0
168716907,Фитнес кольцо для пилатеса и йоги,21 Bek,гимнастические кольца,5,326,4.8,1214.0,451.0
37317469,"Стропы для гимнастических колец, 25 мм",Мир спорта 365,гимнастические кольца,5,105,4.9,1900.0,710.0
71930856,Гимнастические кольца,Sportlim,гимнастические кольца,5,1051,4.8,1722.0,600.0
70036482,Гимнастические кольца деревянные на хлопоковых канатах,КидсGO,гимнастические кольца,5,179,4.9,2900.0,1300.0
174745493,"Кольца спортивные деревянные на стропах 2,5 м",КидсGO,гимнастические кольца,5,153,4.9,4240.0,1558.0
76596124,Гимнастические кольца,Sportlim,гимнастические кольца,5,1051,4.8,1722.0,600.0
43906906,Кольцо гимнастическое для пилатеса и фитнеса,onlytop,гимнастические кольца,5,36,4.7,1777.0,400.0
16202641,Гимнастические кольца для шведской ст,Sportlim,гимнастические кольца,5,165,4.8,1820.0,623.0
74276883,Гимнастические кольца,Arizona Sport,гимнастические кольца,5,83,4.9,1677.0,1044.0
26068703,Детские кольца гимнастические,Arizona Sport,гимнастические кольца,5,83,4.9,1344.0,569.0
26068701,Детские кольца гимнастические,Arizona Sport,гимнастические кольца,5,83,4.9,1344.0,552.0
867530307,Деревянные гимнастические кольца 28 мм с ремнями 4.5 метра,,гимнастические кольца,5,5,4.7,3500.0,1526.0
28698072,Кольца к Уличному спортивному комплексу,Sportlim,гимнастические кольца,5,42,4.8,1311.0,735.0
175985271,Кольца гимнастические 28 мм со стропами 25 мм,Мир спорта 365,гимнастические кольца,5,62,4.9,5500.0,1973.0
17657736,Кольца гимнастические деревянные кроссфит со стропами,Hawk,гимнастические кольца,5,28,4.7,7067.0,1717.0
37317022,Кольца гимнастические 30 мм (без строп),Мир спорта 365,гимнастические кольца,5,57,4.9,4300.0,1607.0
155766571,Гимнастическое кольцо портативное подвесное,MyPads,гимнастические кольца,4,13,4.7,1688.0,862.0
218853795,Кольца гимнастические 32 мм (без строп) с пропиткой,Мир спорта 365,гимнастические кольца,5,18,4.9,5000.0,1794.0
28698071,Кольца к Уличному спортивному комплексу,Sportlim,гимнастические кольца,5,42,4.8,2159.0,1210.0
261674250,Кольца гимнастические 30 мм со стропами 38 мм,Мир спорта 365,гимнастические кольца,5,9,4.9,7100.0,2547.0
169382390,"Кольца гимнастические треугольные, зеленые",Мир спорта 365,гимнастические кольца,5,1,4.9,2200.0,822.0
46577491,Гимнастические кольца,Arizona Sport,гимнастические кольца,5,96,4.9,954.0,564.0
224973919,Кольца гимнастические 30 мм со стропами 25 мм с пропиткой,Мир спорта 365,гимнастические кольца,5,22,4.9,6300.0,2260.0
147435024,Кольца гимнастические,SportStenki,гимнастические кольца,5,108,4.8,1501.0,654.0
147122471,Кольца гимнастические детские с канатами D=18 см,КидсGO,гимнастические кольца,5,416,4.9,2200.0,1151.0
25713795,Гимнастические кольца для шведской ст,Sportlim,гимнастические кольца,5,165,4.8,1820.0,623.0
76596143,Гимнастические кольца,Sportlim,гимнастические кольца,5,1051,4.8,1722.0,600.0
28698073,Кольца к Уличному спортивному комплексу,Sportlim,гимнастические кольца,5,42,4.8,1311.0,735.0
76596548,Гимнастические кольца,Sportlim,гимнастические кольца,5,1051,4.8,1722.0,600.0
25713794,Гимнастические кольца для шведской ст,Sportlim,гимнастические кольца,5,165,4.8,1820.0,623.0
25713793,Гимнастические кольца для шведской ст,Sportlim,гимнастические кольца,5,165,4.8,1820.0,623.0
808486386,Гимнастические кольца нескользящие для подтягиваний 2м,,гимнастические кольца,0,0,4.6,1547.0,837.0
169382393,"Кольца гимнастические треугольные, синие",Мир спорта 365,гимнастические кольца,5,1,4.9,2200.0,822.0
421890406,Кольца гимнастические детские круглые,Sportlim,гимнастические кольца,5,3,4.8,1215.0,756.0
717397684,Кольца гимнастические диаметр 116 мм,Kampfer,гимнастические кольца,0,0,4.8,1503.0,936.0
26068702,Детские кольца гимнастические,Arizona Sport,гимнастические кольца,5,83,4.9,1357.0,549.0
91652768,Кольца гимнастические,SportStenki,гимнастические кольца,5,108,4.8,1501.0,654.0
443530975,Кольца гимнастические дерево,KMSsport,гимнастические кольца,5,2,4.9,2552.0,747.0
91937126,Кольца гимнастические,SportStenki,гимнастические кольца,5,108,4.8,1501.0,654.0
972395672,"Гимнастические кольца 15x15 см, до 200 кг",,гимнастические кольца,5,1,4.5,1428.0,597.0
197634380,"Гимнастические кольца, верёвочная лестница, трапеция",КидсGO,гимнастические кольца,5,96,4.9,7636.0,2557.0
